nit_entidad,orden_entidad,num_contratos_r_2,num_contratos_r_3,val_contratos_r_2,val_contratos_r_3,val_contratos_media_r_2,val_contratos_media_r_3,val_contratos_median_r_2,val_contratos_median_r_3,val_contratos_desv_r_2,val_contratos_desv_r_3,num_familias_dif_r_2,num_familias_dif_r_3,num_grupos_dif_r_2,num_grupos_dif_r_3,num_contratistas_dif_r_2,num_contratistas_dif_r_3,r_cont_cerrada_2,r_cont_cerrada_3,pnum_ganadoras_r_2,pnum_ganadoras_r_3,r_adicion_tiempo_2,r_adicion_tiempo_3,r_adicion_cuantia_2,r_adicion_cuantia_3,IRCC,IRCCG
900142579,5,8.04,-27.38,12.26,-4.5600000000000005,3.9,31.430000000000003,-14.29,33.33,116.63,-61.94,3.85,-7.41,0,0,28.060000000000002,-23.31,1,1,18.523931643328883,5.60065014301192,0,1,0,1,6.765483553306065,Bajo
900142999,5,-59.730000000000004,0,1651.54,0,4249.65,0,325,0,21381.34,0,42.86,0,0,0,-60.67,0,0,0,-2.3222222222222366,0,0,0,0,0,35.20097884770072,Alto
900145572,5,2520,-9.54,5047.14,31.47,96.46000000000001,45.34,-41.54,14.04,887.9799999999999,47.57,1300,-17.86,300,0,3175,-29.01,0,0,25,-21.518987341772156,0,1,0,1,23.834543700148394,Medio
900145581,5,35.75,62.06,32.53,44.93,-2.37,-10.57,-33.489999999999995,0,2.4299999999999997,-13.139999999999999,38.78,-13.239999999999998,0,0,44.2,70.85000000000001,0,0,6.226812928710612,5.424851530379149,1,1,1,1,21.436715935849705,Medio
900145585,5,-6.79,-39.18,-84.23,147.36,-83.08,306.72,34.71,86.6,-96.17,729.26,18.33,2.82,0,25,0.65,-39.35,0,0,7.985977575954806,-0.2875437960613625,1,1,1,1,38.3631633912209,Alto
900145588,5,0,136.06,0,133.68,0,-1.01,0,-17.560000000000002,0,-9.33,0,50,0,0,0,57.47,0,1,0,-33.29119554275815,0,0,0,0,24.298554575649554,Medio
900145604,5,13.719999999999999,-17.37,75.29,-45.2,54.14,-33.68,5,27.22,506.88000000000005,-87.29,44.12,-22.45,0,0,13.389999999999999,-16.669999999999998,1,1,-0.29509565417669137,0.8480825958702365,1,0,1,1,10.248507876257836,Bajo
900146006,5,113.19,-4.99,112.38999999999999,44.43,-0.37,52.01,-12.2,149.76,32.019999999999996,16.38,1.72,13.56,0,0,74.81,-31,1,1,-18.00368728192471,-27.380646581776823,0,1,1,1,19.87488529434692,Medio
900146010,5,33.76,-21.39,103.45,18.970000000000002,52.1,51.33,50,53.779999999999994,16.39,26.740000000000002,84.44,-18.07,0,25,39.519999999999996,-44.64,0,0,4.304685426834198,-29.57270891189093,0,1,0,1,20.492144337381593,Medio
900146012,4,0,15.82,0,107.64,0,79.28,0,104.62,0,45.28,0,-5.26,0,0,0,-19.3,0,0,0,-30.320924261874183,0,0,0,0,29.735848386949936,Medio
900146438,5,0,-27.750000000000004,0,50.029999999999994,0,107.66,0,115.65,0,147.09,0,-18.990000000000002,0,0,0,-3.8600000000000003,0,0,0,33.066437078490466,0,1,0,1,23.83436595074159,Medio
900153346,5,31.89,-16.8,111.94,-51.05,60.69,-41.160000000000004,-40.12,89.77000000000001,1127.96,-93.58,67.39,-20.78,0,0,38.269999999999996,-24.11,0,0,4.837077514673149,-8.77902885292048,1,0,1,0,12.676460215565676,Bajo
900154361,5,47.089999999999996,-14.71,-23.06,17.83,-47.69,38.15,20.19,22.96,-95.39,91.01,-50,0,0,0,93.28,-25.480000000000004,0,0,31.40659823056664,-12.634802289974711,0,0,0,0,16.671046916218252,Medio
900160887,5,-73.92999999999999,96.36,-80.12,134.14999999999998,-23.74,19.24,24.19,-17.05,-90.10000000000001,104.30999999999999,-41.67,142.86,0,0,-68.06,45.9,0,0,22.522608281770573,-25.69823922282939,0,0,0,0,11.482316520223392,Bajo
900169684,4,42.11,1200,19.3,257.90000000000003,-16.05,-72.47,81.82000000000001,-79.86,-0.08,-51.07000000000001,100,400,0,200,66.67,236,0,0,17.28395061728396,-74.15384615384615,0,0,0,0,11.317833690631618,Bajo
900176479,5,97.67,23.189999999999998,355.29,-42.699999999999996,130.32,-53.49,-25,20,1909.49,-94.05,180.95000000000002,-8.469999999999999,0,0,64.96,-2.07,1,1,-16.551030668677736,-20.509086796400624,0,0,0,0,14.449546456339505,Bajo
900179095,5,238.07,-15.629999999999999,63.54,32.879999999999995,-51.629999999999995,57.489999999999995,-53.21,46.67,-61.92999999999999,52.07000000000001,11.540000000000001,20.69,0,0,42.059999999999995,-39.47,0,0,-57.98005183381763,-28.2606416439505,0,0,0,0,9.636152104882871,Bajo
900186802,5,118.57,5.88,139.14,-9.950000000000001,9.41,-14.95,35.33,-5.17,46.97,-43.84,130.77,40,33.33,0,73.58,-22.830000000000002,1,0,-20.582069305709705,-27.113526570048307,0,1,0,1,11.220750443518703,Bajo
900190045,7,85.08,-37.25,150.35,28.03,35.27,104.05,-12.520000000000001,62.150000000000006,20.59,77.14,347.37,-24.709999999999997,0,0,51.59,-27.750000000000004,0,0,-18.096621364595222,15.150523560209429,0,1,0,1,16.128059487212305,Medio
900190473-9,5,126.02,12,6.6000000000000005,33.300000000000004,-52.839999999999996,19.02,-11.32,14.719999999999999,-81.14,24.33,81.25,-18.39,0,0,58.720000000000006,-12.06,0,0,-29.775756329872895,-21.48376291093839,1,1,1,1,6.001447979907855,Bajo
900192428,5,1330.77,-25.81,2379.05,41.07,73.27,90.14,19.74,144.57999999999998,319.51,71.55,411.11,-34.78,33.33,0,708.33,-21.65,0,0,-43.50358422939068,5.6028686687584095,0,0,0,0,16.263396333438482,Medio
900192544,5,47.510000000000005,-11.129999999999999,43.76,14.85,-2.54,29.24,-15.18,47.370000000000005,7.91,18.759999999999998,177.78,2,-20,0,47.3,-20.18,1,1,-0.1423889097845299,-10.184101964164771,0,0,0,1,4.84117857458147,Bajo
900192678,5,-6.67,-3.93,19.18,137.56,27.689999999999998,147.26999999999998,8.83,14.66,58.15,1189.68,56.00000000000001,15.379999999999999,0,0,7.88,-17.98,0,0,15.584415584415567,-14.623449312894198,0,1,0,1,11.699259990390427,Bajo
900192832,5,17.03,17.79,76.05,26.25,50.43,7.19,70.28999999999999,-13.089999999999998,42.26,29.62,121.21,43.84,0,0,7.7700000000000005,-15.740000000000002,0,0,-7.909656663678066,-28.461578409818767,1,0,1,0,6.2093446800834915,Bajo
900196346,5,43.75,8.7,-31.25,708.63,-52.18000000000001,643.94,-9.74,15.909999999999998,-88.8,6506.27,250,14.29,0,50,-14.29,16.669999999999998,1,1,-40.37267080745342,7.333333333333347,0,0,0,0,43.699997121484756,Alto
