nit_entidad,orden_entidad,num_contratos,val_contratos,val_contratos_media,val_contratos_median,val_contratos_desv,num_familias_dif,num_grupos_dif,num_contratistas_dif,pnum_cont_cerrada,pval_cont_cerrada,pnum_ganadoras,IRCC,IRCCG,adicion
891180232,5,640,11158341400,17434908.4375,4742500,53020433.73674626,78,4,161,0.15625,0.05108286075563165,25.156250000000004,25.07809999579988,Bajo,0.05474583444251849
891180238,5,2376,11582304054,4874707.093434343,2100000,11132927.66250639,80,4,424,0.16835016835016833,0.6529724970730767,17.845117845117844,4.8046346530545945,Bajo,0
891180268,5,1179,913787028787,775052611.3545377,41708978,19734378249.842495,122,4,460,16.030534351145036,80.28987844070366,39.016115351993214,35.336148222951,Bajo,0
891190011,7,705,9816070572,13923504.357446808,7360150,17121151.198200896,77,4,233,0,0,33.04964539007092,8.572562747585074,Bajo,0.16708270410163156
891200445,4,1028,12113942748,11783991,2850000,123934960.64052355,93,4,333,0,0,32.39299610894942,19.92478594596878,Bajo,0
891200543,6,2042,7390675150,3619331.611165524,2343726,4900421.766166543,118,4,406,15.621939275220372,14.899856666004323,19.882468168462292,6.704822787259457,Bajo,0
891200622,5,6131,20035706353,3267934.4891534825,1000000,8283852.231742493,84,4,893,0.3425216114826293,1.9323925654461802,14.565323764475616,3.95408124659586,Bajo,0.18583517117742354
891200679,5,992,128114340624,129147520.79032259,13000000,1642511989.7266023,84,4,584,0.10080645161290322,0.0039027637153239477,58.87096774193549,23.809656018553373,Bajo,25.490931129736424
891200952,5,6388,70126818050,10977898.88071384,3590370,25680292.764387667,113,4,1063,0,0,16.640576080150282,4.261791518028633,Bajo,2.194925172553794
891201108,4,142,1014478451,7144214.443661972,3300000,14210362.496834468,28,4,91,0,0,64.08450704225352,11.678834551596971,Bajo,0
891201410,5,2152,10037444932,4664240.210037175,2499400,7113045.219843351,92,4,508,100,100,23.605947955390334,4.63961808839317,Bajo,4.498646651418173
891201845,4,66,1895872696,28725343.87878788,8200000,101309103.11420234,31,3,36,0,0,54.54545454545454,36.05623899071211,Bajo,1.863936393639364
891301121,5,1017,20735206129,20388599.930186823,6000000,226290142.27086025,30,3,407,23.795476892822027,11.33729177503659,40.0196656833825,15.9386604036647,Bajo,0
891301447,4,1168,4088003461,3500002.9631849313,1412182.5,14177910.326173836,27,4,143,0,0,12.243150684931507,12.551967924615472,Bajo,0
891380046,4,119,8223158025,69102168.27731092,17017000,179398862.9884248,12,2,73,0.8403361344537815,0.6080389048585747,61.34453781512605,23.911336693204298,Bajo,0
891380055,4,1487,20887347188,14046635.634162745,8709972,34260431.65405819,49,4,437,99.86550100874243,94.08254198642278,29.388029589778075,4.089589818624809,Bajo,30.75672853323801
891380070,5,463,7799733844,16846077.41684665,6000000,67553071.66971558,19,3,158,15.334773218142548,16.619536921726787,34.12526997840173,13.239681696504027,Bajo,0.2623361227890081
891380103,5,302,15814072406,52364478.16556291,13000000,155708647.00018442,23,4,99,0,0,32.78145695364238,22.816804557101392,Bajo,0
891380184,7,3190,27393687671,8587362.906269593,4260000,13747676.533071551,56,4,605,1.316614420062696,2.2865007790210194,18.96551724137931,2.455393829717673,Bajo,2.871417648654732
891401308,5,127,6486925802,51078155.92125984,9600000,178554941.14374363,49,4,67,0,0,52.75590551181102,30.277344654588592,Bajo,3.9468184158072437
891401643,5,1258,68549808961,54491104.10254372,15850000,191785496.4343344,82,5,399,0,0,31.717011128775834,12.557004857898235,Bajo,46.04274758876966
