nit_entidad,orden_entidad,num_contratos,val_contratos,val_contratos_media,val_contratos_median,val_contratos_desv,num_familias_dif,num_grupos_dif,num_contratistas_dif,pnum_cont_cerrada,pval_cont_cerrada,pnum_ganadoras,IRCC,IRCCG,adicion,ine_coberturaNeta_m,ine_tasaDesercion_m,ine_tasaRepitencia_m,ine_tasaAnalfabetismo_m,ine_porcentajeAsistencia_m,ine_pruebaLecturaMatematicas_m,ine_pruebaLecturaCritica_m,inf_ingresos_m,inf_financiamiento_m,inf_desempennofiscal_m,inf_igpr_m,inf_nproyectos_m,inf_peducacion_m,inf_psalud_m,inf_regaliaspc_m,inf_vproyectos_m
890702190,5,559,4222985083,7554535.032200358,3000000,27386006.54902479,16,3,178,99.46332737030411,84.12253780627432,31.84257602862254,11.50259146593135,Bajo,3.2836629569826394,9480.5,392,40.5,826,7359,4806.4,4865.8,11208698333.333334,1112606666.6666667,63,66.645625,5,9.665,36.585,73931.57666666666,1024574390
890702241,5,610,2914588318,4778013.636065573,3000000,12478280.866082909,47,4,207,0.16393442622950818,0.07067893559024414,33.9344262295082,9.537934106562233,Bajo,2.5326741219046043,10377.166666666666,303.1666666666667,0,614,6845,4671.8,4778,13087266666.666666,-365470000,73.78,76.136875,1.8,7.215,34.2,63290.97333333333,518473918.555
890702369,5,1999,21132776733,10571674.203601802,4368000,67591074.93523774,102,5,590,5.852926463231616,9.11124838125644,29.514757378689342,7.60213235063968,Bajo,9.860209495132047,10627.833333333334,265,23.666666666666668,361,6677,4931,5085.4,62882281666.666664,3393260000,77.798,72.345625,5.8,13.133333333333333,49.31166666666667,510663.1116666667,11545110456.08
890702408,3,365,2623992801,7189021.372602739,4320000,12758476.202347834,40,4,166,4.931506849315069,4.243456763965413,45.47945205479452,9.065988773175466,Bajo,1.5979064205931137,8358.833333333334,629.5,519.1666666666666,980,6491,4624.8,4654.8,9515018333.333334,1089590000,66.26,67.31625,1.75,5.506666666666667,27.653333333333336,125076.38833333334,727813431.23
890702476,4,128,4526197518,35360918.109375,4359000,300476189.6141489,18,4,58,94.53125,91.34063008869336,45.3125,41.95602355608286,Bajo,0.5082734229604051,9513.166666666666,554.1666666666666,105,887,7427,4736,4825,7622055000,-185641666.66666666,59.79,64.7225,2.5,5.875,31.27,47768.816666666666,1665532116.0900002
890703266,5,246,5131431640,20859478.211382113,7800000,46360821.14179394,4,1,86,2.8455284552845526,5.815437521837473,34.959349593495936,35.54501493133575,Bajo,0,8617.166666666666,410.1666666666667,25.5,1126,7270,4568,4676.2,22294475000,2270753333.3333335,61.012,55.323125,2.25,10.49,41.45166666666667,27421.6,968051949.1433333
890704495,5,620,12377178562,19963191.22903226,4500000,83974590.06026517,41,4,228,64.19354838709678,50.48691244695319,36.774193548387096,21.01869834650284,Bajo,1.4701359549884534,8707.333333333334,346.8333333333333,143.5,1440,5397,3944.6,4194.8,29954213333.333332,607576666.6666666,71.1,64.416875,4,10.61,40.645,89205.09,20711363554
890704505,5,371,3427140465,9237575.37735849,4000000,20277779.057614114,5,3,133,0,0,35.84905660377358,14.671290633261746,Bajo,1.6641125535750354,7561.833333333333,505.6666666666667,89.5,948,7428,4954.4,5143.6,10781498333.333334,1856091666.6666667,58.814,68.0475,3.3333333333333335,7.365,43.365,154397.01833333334,1019261754.2133332
890704555,5,1104,10370473999,9393545.288949275,4875000,24832623.110912424,68,4,372,6.521739130434782,3.982809272168544,33.69565217391305,6.317834624723623,Bajo,0,8314,696.1666666666666,35,984,6388,4428.6,4690.2,32635716666.666668,-668838333.3333334,68.796,55.825624999999995,2,11.42,53.49333333333333,157806.35333333333,1164440197.68
890706067,5,1077,32621264518,30289010.69452182,13000000,94906421.63242528,83,4,402,40.29712163416899,32.384896950180206,37.32590529247911,10.59875870270511,Bajo,4.217857730770146,10256.5,404.6666666666667,123.33333333333333,614,6919,4841.2,5068.8,36895421666.666664,-661766666.6666667,74.846,60.08,3.5,9.993333333333334,60.18,82654.98,1441463950.6
