id_contratista_std,num_contratos_r_2,num_contratos_r_3,val_contratos_r_2,val_contratos_r_3,val_contratos_media_r_2,val_contratos_media_r_3,val_contratos_median_r_2,val_contratos_median_r_3,val_contratos_desv_r_2,val_contratos_desv_r_3,num_familias_dif_r_2,num_familias_dif_r_3,num_grupos_dif_r_2,num_grupos_dif_r_3,num_entidades_dif_r_2,num_entidades_dif_r_3,num_HHI,val_HHI,r_cont_cerrada_2,r_cont_cerrada_3,pentidades_r_2,pentidades_r_3,pnum_ic1k,pval_ic1k,r_adicion_tiempo_2,r_adicion_tiempo_3,r_adicion_cuantia_2,r_adicion_cuantia_3
9005925908,100,0,4488.53,0,2194.27,0,1790.67,0,1886.9800000000002,0,0,0,0,0,0,0,27.777777777777775,49.404010026604666,0,0,-50,0,33.33333333333333,57.541666392941835,0,0,0,0
9005935070,-50,0,-61.72,0,-23.44,0,-23.44,0,0,0,0,0,0,0,-50,0,33.33333333333333,34.664613264846274,0,0,0,0,33.33333333333333,42.68680916694679,0,0,0,0
9005964470,400,-80,625.2900000000001,83.84,45.06,819.1800000000001,-4.71,1299.3,0,0,100,-50,0,0,200,-66.67,30.61224489795918,43.69569248895632,0,1,-40,66.66666666666667,42.857142857142854,61.76789152956628,0,0,0,0
9005974737,300,-75,146.64,-95.67999999999999,-38.34,-82.73,-41.010000000000005,-81.95,0,0,100,-50,0,0,200,-66.67,27.777777777777775,46.274662211610874,0,0,-25,33.33333333333333,33.33333333333333,57.861820233747494,0,0,0,0
9005982212,-84.21,0,-97.6,0,-84.81,0,-76.42999999999999,0,-94.48,0,-62.5,0,-33.33,0,-50,0,83.47107438016528,68.68370199868544,1,0,216.66666666666666,0,90.9090909090909,80.56444175728181,0,0,0,0
9005985793,100,0,45.24,0,-27.38,0,-27.38,0,0,0,100,0,0,0,100,0,55.55555555555555,92.86083917658367,0,0,0,0,66.66666666666666,96.29300118623962,0,0,0,0
9006003717,0,50,0,44.31,0,-3.8,0,-11.32,0,-84.89,0,0,0,0,0,0,52,51.644438768233194,0,0,0,-33.33333333333335,60,59.06763135618446,0,0,0,0
9006044032,-42.86,0,-35.68,0,12.57,0,0,0,-36.65,0,-25,0,0,0,0,0,60.330578512396706,61.33280901435498,0,0,75.00000000000003,0,72.72727272727273,73.80421077704004,0,0,0,0
9006068990,-37.5,-80,23.86,-94.74000000000001,98.17,-73.69,144.72,-72.8,118.31,0,0,-66.67,-66.67,0,50,-66.67,46.93877551020409,32.91649053565279,1,0,140,66.66666666666667,64.28571428571429,40.400834327168496,0,0,0,0
9006078806,0,-66.67,-7.180000000000001,-9.17,-7.180000000000001,172.5,-34.36,238.74,205.67000000000002,0,50,-66.67,100,-50,100,-50,55.102040816326536,37.36620365621035,0,0,100,50.00000000000002,71.42857142857143,48.76302557749763,0,0,0,0
9006087938,25,0,37.68,-40.78,10.14,-40.78,92.47999999999999,-45.37,-55.75,-36.03,33.33,0,0,-50,0,100,75.51020408163265,73.33830444667467,0,0,-19.999999999999996,100,85.71428571428571,84.16014084183105,0,0,0,0
9006102831,0,0,355.56,0,355.56,0,1062.25,0,62.580000000000005,0,200,0,0,0,0,0,50,70.48008882339781,0,0,0,0,50,82.000069393204285,0,0,0,0
9006120373,-66.67,66.67,-73.61999999999999,564.18,-20.87,298.51,-6.25,433.33000000000004,-24.03,240.64999999999998,-50,0,0,0,0,0,50.173010380622834,55.67220445977546,0,0,199.99999999999994,-39.99999999999999,52.94117647058824,66.84073107049609,0,1,0,0
9006120929,-75,0,-53.04,0,87.82,0,127.47,0,0,0,0,0,0,0,-50,0,68,80.40368468657907,0,0,100,0,80,88.9895400630599,0,0,0,0
9006122624,0,1000,0,2783.33,0,162.12,0,1.52,0,7224.280000000001,0,0,0,0,0,100,58.680555555555564,59.3398024896304,0,0,0,-81.81818181818181,70.83333333333334,71.60995429151853,0,0,0,0
9006125571,200,0,873.24,0,224.41,0,143.31,0,0,0,200,0,0,0,200,0,25,31.70553552640729,0,0,0,0,25,45.34119247336205,0,0,0,0
9006157636,-50,0,13.969999999999999,0,127.93,0,127.93,0,0,0,-50,0,0,0,-50,0,55.55555555555555,66.20800058654308,1,0,0,0,66.66666666666666,78.46752587295134,0,0,0,0
