codigo_entidad,ine_coberturaNeta_1,ine_coberturaNeta_2,ine_coberturaNeta_3,ine_tasaDesercion_1,ine_tasaDesercion_2,ine_tasaDesercion_3,ine_tasaRepitencia_1,ine_tasaRepitencia_2,ine_tasaRepitencia_3,ine_tasaAnalfabetismo_3,ine_porcentajeAsistencia_3,ine_pruebaLecturaMatematicas_1,ine_pruebaLecturaMatematicas_2,ine_pruebaLecturaMatematicas_3,ine_pruebaLecturaCritica_1,ine_pruebaLecturaCritica_2,ine_pruebaLecturaCritica_3
19532,7563.5,7439.5,7829.5,520,309,397.5,146.5,131.5,107.5,1052,6811,4603.5,4456.5,4674,4618,4697.5,4879
19533,9720,10212,8992.5,456,502,487.5,158.5,510,540,609,6667,4435.5,4542,4510,4621,4910.5,4650
19548,8089.5,7616,8081.5,333.5,302,229.5,100,82,112,770,6738,4677,4614,4721,4709,4942,4957
19573,8988,9131,10079.5,286,232,261.5,45,24.5,21.5,340,6969,4419.5,4379.5,4343,4516.5,4728.5,4738
19585,6959,7035,7002,269,122,225.5,140,163,117.5,667,6726,4423.5,4403,4597,4501.5,4792.5,4780
19622,6749,6303,7249.5,456.5,284.5,173.5,74,111,27,974,8275,4571.5,4610,4838,4645,4912,5028
19693,5841.5,5284,5622,296,114.5,164,106.5,77.5,37,856,7413,4562.5,4338,4593,4390.5,4634.5,4469
19698,9500,9571.5,9358.5,282.5,247.5,257.5,110.5,67,79.5,429,6899,4747.5,4715.5,4810,4795.5,5008.5,5033
19701,4513,3942.5,5875.5,309.5,346,279,157,8.5,171.5,631,6959,4706,4685,4624,4528,4958.5,4741
19743,8109,8132.5,7606,334.5,379.5,285,80.5,45.5,23,1002,7129,4363,4295.5,4325,4433.5,4687.5,4543
19760,4738,4620.5,5281.5,368,238,160.5,11,96,154.5,543,7083,4640.5,4764,4730,4575.5,4924.5,4928
19780,8567,8958.5,7526.5,393,204.5,243,114,45.5,48.5,801,5552,4214.5,3987.5,4065,4300,4472,4488
19785,6402,6036.5,5626.5,202.5,269.5,251.5,43.5,29.5,47,1470,6507,4450.5,4481,4836,4628.5,4821,5110
19807,8585.5,8309.5,8443,437,247,263.5,136,79,178.5,670,6940,4668.5,4870.5,5139,4725.5,5097,5260
19809,10270.5,10116,8982.5,382.5,228.5,266.5,16.5,137.5,2.5,1672,7848,3891,3658,3615,3882,4079,4087
19821,8495.5,8601,7793,322,342.5,377,85.5,35.5,15,1203,7259,4230.5,4061.5,4025,4355,4463.5,4351
19824,7385,7625.5,7163,197,351,255.5,154,115.5,157.5,747,6787,4298.5,4172.5,4362,4326,4611.5,4662
19845,8179.5,7861,7591.5,448.5,285,346.5,64.5,90.5,95,295,7313,4385,4153.5,4217,4403.5,4563,4628
20000,9576.5,9818,9589.5,466.5,452.5,404.5,158.5,105.5,115.5,869,7008,4789,4814.5,4823,4760,5072,5069
20001,8734,8782,9070.5,532.5,350,288.5,158.5,86.5,132,0,0,4846,5009,5043,4882.5,5285.5,5313
20011,9229.5,9526.5,9108.5,359.5,494.5,416,291,145,71.5,925,7023,4745.5,4808,4831,4742,5054,5027
20013,10978.5,11504.5,11384.5,517,565.5,556,194,193.5,71.5,1159,6582,4680,4719.5,4687,4617.5,4949.5,4862
20032,8591,8831,9058,378.5,438.5,382,181.5,94,137,1206,7049,4562,4534,4487,4481,4876.5,4682
20045,14008,15207,12544,463,603.5,373,43,60,74.5,952,6954,4833,4441,4674,4602.5,4687,4813
20060,8866,8915,9028.5,701.5,506,613.5,95,157,253,1035,7053,4570,4441.5,4569,4533,4770.5,4795
20175,10256,10468,10040.5,334.5,399,295,21.5,23.5,4.5,1437,7364,4504.5,4313.5,4287,4478,4632.5,4554
20178,12215,12894.5,11747,365.5,619.5,472,151,147,193.5,1036,7157,4680.5,4560,4236,4516.5,4761.5,4595
20228,12475,13292,11527,201,199,235,76.5,72,69.5,1099,6465,4647,4615.5,4560,4696.5,4926,4853
20238,10525,10475.5,10264,579.5,568.5,607.5,72.5,12,39,1172,6865,4857.5,4840.5,4830,4710.5,5044.5,5010
20250,13753.5,14663,12672,460.5,548.5,418,27.5,25.5,48.5,852,7559,4536,4411.5,4437,4496.5,4747,4727
20295,6201.5,6297.5,6608,195,330,365.5,11.5,4,0,1224,6762,4552,4541.5,4605,4455.5,4869,4770
20310,5455.5,5831,7413,375.5,370,484,687.5,417.5,143,1891,7684,5053,5035,5475,5100,5200,5400
20383,9527,10271.5,9727.5,352.5,544,448.5,260.5,34,50.5,1396,7227,4552.5,4711,4829,4628,4949.5,4898
20400,14973.5,16869,13411.5,474,427,320,217,128.5,171,870,6790,4635.5,4544,4454,4597,4803,4819
20443,6051,6164,8260,502,431,547,328.5,233,318,1050,7210,4830.5,4943,4932,4636,5162,5055
20517,9589.5,9878.5,9181,350.5,486,350,134.5,104,97.5,1310,6929,4722.5,4718.5,4464,4623,4987,4742
20550,9371,9612.5,9449,449,485,513.5,108,41.5,41,1533,6984,4572.5,4429,4540,4532.5,4776.5,4884
20570,8069.5,8515.5,7720.5,484.5,656.5,606,60.5,50.5,66.5,2133,6909,4608.5,4677,4886,4557,4908,4939
20614,10786.5,11260.5,10075,534,501.5,494,244,148.5,184,1646,7404,4977.5,5049,4982,4848,5277,5013
20621,10566,10922,10552.5,472,781,679.5,96.5,90.5,64,981,7176,4746.5,4749.5,4978,4707,5137,5200
