codigo_entidad,ine_coberturaNeta_r,ine_tasaDesercion_r_2,ine_tasaDesercion_r_3,ine_tasaRepitencia_r_2,ine_tasaRepitencia_r_3,ine_pruebaLecturaMatematicas_r_2,ine_pruebaLecturaMatematicas_r_3,ine_pruebaLecturaCritica_r_2,ine_pruebaLecturaCritica_r_3
5861,7.12,0,-27.810000000000002,0,26.19,0,-5.8999999999999995,0,-1.44
5873,-1.01,106.50999999999999,0,123.53,0,-7.380000000000001,0,6.0600000000000005,0
5873,-33.22,0,-9.78,0,32.37,0,0.13999999999999999,0,-5.43
5885,-9.22,53.54,0,216.13000000000002,0,0.63,0,3.4799999999999995,0
5885,12.46,0,-26.150000000000002,0,361.22,0,6.819999999999999,0,9.48
5887,-8.86,43.9,0,97.96000000000001,0,2.94,0,7.48,0
5887,5.53,0,-42.15,0,-34.699999999999996,0,-0.9900000000000001,0,-0.12
5890,-14.330000000000002,-1.7999999999999998,0,-25.580000000000002,0,-4.46,0,2.1399999999999997,0
5890,0.3,0,17.849999999999998,0,-53.25,0,-1.38,0,0.04
5893,-2.87,102.56,0,-23.64,0,4.36,0,8.5,0
5893,-8.51,0,-40.949999999999996,0,-55.589999999999996,0,-2.34,0,-1.32
5895,1.82,4.41,0,-19.09,0,-11.55,0,-3.18,0
5895,6.83,0,6.17,0,-44.99,0,1.25,0,-0.38
8000,5,-27.139999999999997,0,-10.69,0,-1.03,0,5.3100000000000005,0
8000,2.1,0,-17.599999999999998,0,-25.64,0,0.98,0,0.66
8001,7.62,-28.57,0,41.11,0,0.48,0,5.680000000000001,0
8001,2.11,0,-54.290000000000006,0,-37.01,0,0.61,0,0.65
8078,2.48,65.31,0,-34.1,0,1.5,0,6.529999999999999,0
8078,-1.94,0,-21.48,0,-59.25,0,-0.16999999999999998,0,0.06999999999999999
8137,19.05,-32.34,0,-28.28,0,0.7000000000000001,0,14.35,0
8137,-0.21,0,-13.63,0,-42.59,0,-1.46,0,-1.8399999999999999
8141,14.78,-8.39,0,-50.629999999999995,0,-4.68,0,9.36,0
8141,-7.7,0,37.79,0,-52.96999999999999,0,-1.28,0,0.09
8296,7.340000000000001,46.300000000000004,0,-37.54,0,-0.51,0,6.890000000000001,0
8296,-7.090000000000001,0,31.5,0,40.98,0,1.8900000000000001,0,0.13
8372,-0.13,-36.42,0,-41.47,0,-1.13,0,7.32,0
8372,-5.7,0,109.2,0,-9.71,0,1.34,0,1.13
8421,-1.11,82.5,0,37.65,0,-2.98,0,7.19,0
8421,-3.26,0,17.580000000000002,0,-2.85,0,4.38,0,-0.11
8433,2.75,-31.61,0,7.1,0,-0.97,0,5.680000000000001,0
8433,0.59,0,-16.38,0,18.88,0,2.29,0,1.52
8436,6.6000000000000005,176.6,0,890,0,-5.17,0,6.08,0
8436,-14.23,0,-8.32,0,122.22,0,-0.08,0,-1.3299999999999998
8520,1.8599999999999999,119.08000000000001,0,-21.69,0,1.67,0,7.969999999999999,0
8520,-4.24,0,49.34,0,59.01,0,-3.15,0,-1.9
8549,2.11,240.59,0,-58.699999999999996,0,-5.3,0,4.08,0
8549,-1.5599999999999998,0,-9.75,0,-52.629999999999995,0,-4.12,0,-2.42
8558,2.46,94.82000000000001,0,-54.900000000000006,0,-1.4500000000000002,0,6.16,0
8558,-10.79,0,10.02,0,58.050000000000004,0,0.12,0,-0.75
8560,2.13,-8.219999999999999,0,50,0,3.3099999999999996,0,9.98,0
8560,1.43,0,132.24,0,-42.34,0,-4.83,0,-5.11
8573,8.95,42.44,0,-26.58,0,-0.97,0,5.47,0
8573,-21.63,0,3.16,0,14.719999999999999,0,0.48,0,1.0999999999999999
8606,-2.2800000000000002,-72.54,0,10.639999999999999,0,-2.86,0,9.06,0
8606,1.81,0,86.81,0,-57.97,0,0.7100000000000001,0,-1.55
8634,-1.17,4.92,0,-72.97,0,1.16,0,7.41,0
8634,-2.46,0,54.690000000000005,0,-91.67,0,3.29,0,2.8899999999999997
8638,3.83,0,0,-27.52,0,-0.29,0,8.3,0
8638,8.01,0,19.81,0,-35.44,0,-0.13999999999999999,0,-1.81
8675,12.629999999999999,997.62,0,-26.179999999999996,0,-0.13999999999999999,0,8.33,0
8675,-17.2,0,-76.79,0,152.48,0,-4.99,0,-5.25
8685,2.5100000000000002,81.25,0,268.18,0,2.67,0,9.34,0
8685,-11.3,0,32.57,0,35.39,0,0.95,0,2.32
8758,1.32,-54.6,0,-77.59,0,-0.66,0,5.6899999999999995,0
8758,11.34,0,1.4200000000000002,0,2.1999999999999997,0,1.3599999999999999,0,0.66
8770,15.55,27.36,0,24.9,0,-4.8500000000000005,0,3.7199999999999998,0
8770,-7.2700000000000005,0,47.410000000000004,0,-53.63,0,2.37,0,0.32
8832,8.04,48.209999999999994,0,-58.60999999999999,0,0.8200000000000001,0,5.89,0
8832,-14.27,0,-8.23,0,122.98,0,-3.3300000000000005,0,-0.18
8849,-0.6,-41.55,0,-64.07000000000001,0,-2.93,0,1.46,0
8849,-9.27,0,117.54,0,-5.42,0,-2.98,0,-0.69
11001,-1.5,-39.64,0,-54.84,0,1.0699999999999998,0,3.9600000000000004,0
11001,9.32,0,-12.16,0,-23.77,0,0.44999999999999996,0,1.29
13000,2.21,-14.069999999999999,0,-3.95,0,-1.6,0,6.710000000000001,0
13000,6.72,0,2.67,0,12.959999999999999,0,0.22999999999999998,0,-0.27999999999999997
13001,0.03,-5.64,0,2.18,0,0.35000000000000003,0,6.79,0
13001,7.779999999999999,0,10.870000000000001,0,27.41,0,-0.48,0,0.13
13006,7.9,-23.76,0,-42.27,0,-3.7600000000000002,0,5.21,0
13006,-0.83,0,-32.74,0,-56.55,0,-0.64,0,-1.17
13030,4,31.71,0,15.9,0,-3.7699999999999996,0,7.68,0
13030,-1.83,0,92.33,0,-49.309999999999995,0,-0.43,0,-2.1
13042,-0.26,-71.82,0,-54.76,0,-8.51,0,3.34,0
13042,95.89,0,31.369999999999997,0,152.26,0,0.6799999999999999,0,-4
13052,-0.02,-65.36,0,-38.89,0,-2.4899999999999998,0,6.83,0
13052,9.75,0,14.99,0,-7.2700000000000005,0,0.22999999999999998,0,0.02
13062,12.590000000000002,30.19,0,-46.98,0,-11.17,0,1.7399999999999998,0
13062,40.5,0,123.19,0,-43.28,0,1.52,0,1.7500000000000002
13074,10.58,1.38,0,-32.26,0,-1.54,0,8.32,0
13074,10.13,0,4.9799999999999995,0,-89.07000000000001,0,4.42,0,0.5
13140,2.92,-58.60999999999999,0,-7.049999999999999,0,-3.2,0,9.2,0
13140,15.409999999999998,0,10.5,0,-16.93,0,3.1399999999999997,0,-0.86
13160,4.130000000000001,34.11,0,-48.480000000000004,0,-1.34,0,8.63,0
13160,7.51,0,14.84,0,-0.16,0,1.4200000000000002,0,-1.02
13188,5.4,-21.19,0,-75.87,0,-2.44,0,5.79,0
13188,-8.15,0,-15.68,0,17.78,0,4.78,0,3.29
13212,2.74,-56.10000000000001,0,-16.689999999999998,0,-0.16,0,7.7,0
13212,-1.9,0,-26.900000000000002,0,-6.74,0,-2.45,0,-1.08
13222,-1.41,-86.26,0,-45.73,0,-6.22,0,3.5000000000000004,0
13222,3.61,0,-15.310000000000002,0,-26.009999999999998,0,3.85,0,2.2800000000000002
13244,5.74,39,0,5.08,0,-2.94,0,5.34,0
13244,15.509999999999998,0,-14.39,0,-5.3,0,0.73,0,0.25
13248,0.44,-93.43,0,-21.09,0,-1.92,0,8.32,0
13248,-2.8899999999999997,0,294.87,0,-44.4,0,-2.0500000000000003,0,-3.0300000000000002
13268,-3.93,-41.21,0,-18.91,0,-2.77,0,7.6,0
13268,9.45,0,2.36,0,-21.34,0,-2.4299999999999997,0,-2.68
13300,3.25,-7.61,0,-41.39,0,0.18,0,11.5,0
13300,-1.47,0,-52.410000000000004,0,6.47,0,-5.2,0,-6.890000000000001
