codigo_entidad,inf_ingresos_m_1,inf_ingresos_m_2,inf_ingresos_m_3,inf_financiamiento_m_1,inf_financiamiento_m_2,inf_financiamiento_m_3,inf_regaliaspc_m_1,inf_regaliaspc_m_2,inf_regaliaspc_m_3,inf_nproyectos_m_1,inf_nproyectos_m_2,inf_nproyectos_m_3,inf_vproyectos_m_1,inf_vproyectos_m_2,inf_igpr_m_2,inf_igpr_m_3,inf_desempennofiscal_m_1,inf_desempennofiscal_m_2,inf_desempennofiscal_m_3,inf_peducacion_m_1,inf_peducacion_m_2,inf_peducacion_m_3,inf_psalud_m_1,inf_psalud_m_2,inf_psalud_m_3
5615,295215900000,360737885000,412959265000,-2305990000,56118485000.00001,276846120000,103.38499999999999,782.96,13.155,0,0,0,0,0,0,0,91.53,90.5,79.53,73.65,74.58500000000001,74.41999999999999,12.219999999999999,12.35,13.809999999999999
5628,12002430000,12261050000,15942970000,647240000,-481665000,590765000,65196.799999999996,13676.539999999999,72877.26,2,0,1,136219903,0,69.99000000000001,73.33625,64.06,60.095,65.76,7.484999999999999,6.35,4.390000000000001,32.285,35.525,37.54
5631,117741790000,172545965000,193815085000,3378730000,-24956975000,37177890000,34339.36,0,0,0,1,0,9186302744,0,0,0,78.87,79.7,82,73.38499999999999,76.55,75.58500000000001,10.825,10.115,11.085
5642,18530015000,19197830000,23511130000,817555000,-636340000,858340000,68852.435,22750.159999999996,51336.5,4,1,2,92377577,702370654,80.77,84.80666666666667,64.605,63.885000000000005,67.47,7.935,6.805,5.205,48.84,48.075,52.585
5647,7675095000,10620860000,12842355000,624150000,692735000,2874075000,58420.135,55174.085,62940.44,1,1,2,3403944798.03,0,48.265,55.02,61.03,62.28,63.07,7.73,6.875,4.795,32.555,36.555,37.69
5649,26660845000,27999505000,39395545000,927455000,72860000,-3359710000,53707.8,24067.41,25976.205,1,1,1,491077554,0,65.71166666666667,77.4275,71.05000000000001,69.03999999999999,70.56,8.934999999999999,7.38,5.665,43.44,43.67,49.235
5652,12074065000,9772305000,13745990000,209875000,-31530000,840315000,60193.33500000001,0,56664.219999999994,1,3,0,270666191.24,0,55.035000000000004,78.81428571428572,70.61,64.2,66.73,6.050000000000001,4.33,2.94,32.245,32.16,31.63
5656,16118845000,21201740000,24565315000,48740000,-1507205000,4401190000,85012.57,58511.905,7816.175,1,0,2,897902911.88,0,69.41,67.88,76.395,78.055,78.25,10.030000000000001,8.425,6.135,37.625,37.114999999999995,40.519999999999996
5658,7838795000,6440165000,6563835000,-293620000,97940000,-79055000,131884.19,125253.235,121592.66,1,1,4,128825183,1062875958.5,66.65833333333333,86.4475,67.185,62.03,47.79,4.785,4.665,4.03,28.58,28.9,32.45
5659,24679335000,26585700000,38880640000,-1105360000,91365000,-2953215000,75693.285,18394.025,108113.665,0,3,4,2125219424.79,0,63.035000000000004,74.14285714285714,67.005,67.01,68.11,11.53,11.504999999999999,9.135,40.825,45.07,46.59
5660,14639440000,14991295000,19941245000,201340000,-460240000,1459885000,97678.605,20426.715,0,1,6.5,1,369417445,105000000,60.60333333333333,58.356,71.21000000000001,65.68,70.62,9.065,7.365,5.82,41.769999999999996,43.875,51.695
5664,23352900000,26408820000,32023640000,985795000,-1835315000,5297040000,43230.185,12867.075,101904.235,1,1,0,821276865,0,61.638333333333335,67.81833333333333,76.09,75.5,76.77,12.43,12.52,10.379999999999999,41.635,45.205,48.72
