codigo_entidad,inf_regaliaspc_m,inf_regaliaspc_m1_2,inf_regaliaspc_m1_3,inf_ingresos_m_r_2,inf_ingresos_m_r_3,inf_financiamiento_m_r_2,inf_financiamiento_m_r_3,inf_regaliaspc_m_r_2,inf_regaliaspc_m_r_3,inf_nproyectos_m_r_2,inf_nproyectos_m_r_3,inf_vproyectos_m_r_2,inf_igpr_m_r_3,inf_desempennofiscal_m_r_2,inf_desempennofiscal_m_r_3,inf_peducacion_m_r_2,inf_peducacion_m_r_3,inf_psalud_m_r_2,inf_psalud_m_r_3
5541,22389.26,91914.98999999999,0,15.06,0,-116.82999999999998,0,-75.64,0,150,0,0,0,1.06,0,-1.97,0,0.77,0
5541,0,0,22389.26,0,26.99,0,-263.18,0,-100,0,0,0,-5.45,0,2.31,0,-17.84,0,5.84
5543,32563.309999999998,71306.975,0,16.63,0,-300.78000000000003,0,-54.33,0,33.33,0,0,0,-2.42,0,-24.8,0,9.049999999999999,0
5543,93588.43,0,32563.309999999998,0,28.249999999999996,0,-105.91999999999999,0,187.4,0,0,0,-0.7000000000000001,0,1.47,0,-33.94,0,5.7
5576,122925.16500000001,125008.66500000001,0,0.73,0,1665.19,0,-1.67,0,100,0,0,0,-3.5700000000000003,0,-19.900000000000002,0,7.26,0
5576,1152258.08,0,122925.16500000001,0,115.12,0,-71.54,0,837.3699999999999,0,0,0,29.13,0,4.17,0,3.2,0,9.46
5579,96770.47,91635.68,0,35.53,0,-126.44999999999999,0,5.6000000000000005,0,-25,0,0,0,-0.16999999999999998,0,-3.46,0,0.69,0
5579,179620.69,0,96770.47,0,30.39,0,-67.17999999999999,0,85.61999999999999,0,0,0,63.51,0,16.48,0,-26.82,0,12.8
5585,313186.225,449597.32000000007,0,7.91,0,-119.96,0,-30.34,0,-64.29,0,-83.09,0,-5.390000000000001,0,-13.87,0,-4.05,0
5585,549559.44,0,313186.225,0,20.34,0,710.35,0,75.47,0,-20,0,12.770000000000001,0,-2.4,0,-13.719999999999999,0,10.09
5591,125462.135,263292.65,0,-11.92,0,1490.14,0,-52.349999999999994,0,250,0,-85.79,0,2.4899999999999998,0,7.6,0,-8.35,0
5591,84445.7,0,125462.135,0,6.18,0,-11.51,0,-32.690000000000005,0,-42.86,0,-1.91,0,-5.050000000000001,0,-29.98,0,6.22
5604,102030.29000000001,208046.84999999998,0,16.259999999999998,0,-50.22,0,-50.96000000000001,0,0,0,0,0,-2.67,0,-3.84,0,-2.77,0
5604,42326.29,0,102030.29000000001,0,26.19,0,28.54,0,-58.52,0,-33.33,0,-7.33,0,-1.48,0,-21.17,0,15.840000000000002
5607,0,30483.16,0,29.04,25.36,509.26,-189.9,-100,0,200,0,0,19.88,-0.9199999999999999,1.68,1.1199999999999999,-24.560000000000002,-4,1.55
5615,782.96,103.38499999999999,0,22.189999999999998,0,-2533.6,0,657.3199999999999,0,0,0,0,0,-1.13,0,1.27,0,1.06,0
5615,13.155,0,782.96,0,14.48,0,393.32,0,-98.32,0,0,0,0,0,-12.120000000000001,0,-0.22,0,11.82
5628,13676.539999999999,65196.799999999996,0,2.15,0,-174.42,0,-79.02,0,0,0,0,0,-6.1899999999999995,0,-15.160000000000002,0,10.040000000000001,0
5628,72877.26,0,13676.539999999999,0,30.03,0,-222.65,0,432.85999999999996,0,0,0,4.78,0,9.43,0,-30.869999999999997,0,5.67
