codigo_entidad,ine_coberturaNeta_m,ine_coberturaNeta_sd,ine_tasaDesercion_m,ine_tasaDesercion_sd,ine_tasaRepitencia_m,ine_tasaRepitencia_sd,ine_tasaAnalfabetismo_m,ine_porcentajeAsistencia_m,ine_pruebaLecturaMatematicas_m,ine_pruebaLecturaMatematicas_sd,ine_pruebaLecturaCritica_m,ine_pruebaLecturaCritica_sd
73055,9172.833333333334,311.4176723737217,311,91.0955542274155,14.666666666666666,14.596803303006677,918,6470,4725,94.56479260274408,4857.6,103.0014563003844
73067,8617.166666666666,470.8772309919717,410.1666666666667,172.5241045960438,25.5,27.93385043276347,1126,7270,4568,138.4340998453777,4676.2,138.04962875719733
73124,8605.5,421.7590544374833,366,90.68186147185115,141.5,86.2571736147203,711,6793,4611.4,116.7681463413717,4836.6,115.31825527643053
73148,10377.166666666666,341.03689927435516,303.1666666666667,109.22530231895294,0,0,614,6845,4671.8,118.14271031257071,4778,109.40978018440582
73152,7789,227.70507240726982,307.3333333333333,77.79888602458692,100.83333333333333,43.25004816953002,1094,7156,4722.8,127.16210127235237,4956.6,134.78798166008718
73168,9381.666666666666,169.07237109198732,306.5,93.17886026347392,54.666666666666664,19.93656607008004,920,7164,4704.2,45.559850746024175,4863.4,153.9441457152561
73200,6846.166666666667,1047.2660438812416,175.5,57.347188248422434,139.83333333333334,108.79414812694047,1365,7533,4510.6,134.42023657173053,4749,170.78202481525975
73217,8707.333333333334,1019.1140596943341,346.8333333333333,157.7243375851256,143.5,65.56752244823652,1440,5397,3944.6,156.59278399722,4194.8,126.55315088926076
73226,8320.666666666666,746.3239689750468,450.1666666666667,92.09433569262914,42,46.2644571998851,1073,6362,4576.2,170.49545448486302,4682.4,107.07847589501823
73236,9535.833333333334,158.39497045887117,346.5,160.5275677259205,86,55.81755996100152,832,6744,4947,177.95926500185374,5058,249.68780506864968
73268,8984.333333333334,1004.5531676654385,350,66.78023659736465,129,40.24425424827748,534,6641,4756.2,55.02453997990351,4917,153.8765739155899
73270,9013.666666666666,1006.5105397692896,369.3333333333333,96.87036010393822,43.166666666666664,36.9292115630251,1105,7782,4888.2,63.597955941995494,4984,170.20575783445165
73275,7967.666666666667,524.2067022336387,378.8333333333333,158.06127503808978,59.166666666666664,53.26693783827513,452,6900,4450.8,101.72856039480752,4678.4,156.5576571107271
73283,9219.5,75.229648410716365,410.1666666666667,75.26597283412117,127.33333333333333,56.895225341558024,828,6866,4832.6,10.014988766843425,5058.4,137.27636358820115
