codigo_entidad,inf_ingresos_m,inf_financiamiento_m,inf_desempennofiscal_m,inf_igpr_m,inf_nproyectos_m,inf_peducacion_m,inf_psalud_m,inf_regaliaspc_m,inf_vproyectos_m
47053,31666971666.666668,2644876666.6666665,66.322,61.003125,2.25,12.313333333333333,48.51833333333333,88930.35833333334,640850000
47058,24278933333.333332,682570000,67.656,54.631875,1.6666666666666667,10.846666666666666,57.015,70028.465,836079601
47161,13336648333.333334,294465000,60.842,72.24416666666666,2.5,6.113333333333333,34.961666666666666,34779.27333333333,87258851.875
47170,22484718333.333332,2097700000,63.23,72.673125,4,9.04,46.02166666666667,85097.67,679684412
47189,189378723333.33334,5525540000,73.31,53.768125,8.6,67.83,21.655,310046.7916666667,22685675115.476665
47205,12631575000,702030000,55.704,73.89625,2.5,8.34,38.04666666666667,50524.29333333333,766417808
47245,60107108333.333336,2949655000,67.538,55.42125,4.75,12.413333333333334,59.83166666666666,62960.619999999995,1656875485.42
47258,20959376666.666668,-792670000,60.55,69.045,2,8.381666666666666,44.486666666666665,73058.12666666666,277778923
47268,26807720000,1782848333.3333333,67.178,72.285625,2.3333333333333335,11.115,39.84166666666667,56473.39,1052488092.3
47288,56186573333.333336,4666798333.333333,71.712,74.67812500000001,3.5,10.913333333333334,62.70333333333333,63225.53166666667,10059435895.5
47318,25898148333.333332,239858333.33333334,60.614,72.64125,1.6666666666666667,12.165,52.54666666666667,44538.043333333335,1372725612.5
47460,24601731666.666668,868358333.3333334,58.962,82.081875,1.75,9.99,39.041666666666664,93132.05,0
47541,16701343333.333334,173041666.66666666,57.414,52.570625,3,6.471666666666667,32.041666666666664,155025.84166666667,580123052.97
47545,18389475000,1265761666.6666667,65.77,66.77,2.5,9.463333333333333,29.858333333333334,72220.435,638489494.25
47551,34561818333.333336,6703285000,70.14,69.209375,2.6666666666666665,10.386666666666667,60.291666666666664,18439.443333333333,1487461843.12
